8154,1
8160,2
8166,4
8167,8
8172,17
8173,87
8179,500
8180,120
8185,907
8186,1412
8192,7355
8198,11601
8199,8234
8204,8406
8205,35402
8211,65784
8212,16608
8217,50186
8218,82598
8224,192789
8230,141321
8231,100978
8236,48635
8237,206618
8243,181029
8244,45680
8249,67270
8250,111525
8256,128395
8262,51692
8263,36840
8268,12040
8269,52113
8275,38163
8276,9588
8281,13710
8282,22846
8288,28407
8294,13170
8295,9274
8300,3583
8301,15445
8307,13950
8308,3494
8313,6464
8314,10541
8320,16684
8326,9639
8327,6890
8332,3086
8333,13315
8339,13258
8340,3360
8345,6229
8346,10001
8352,15069
8358,7778
8359,5558
8364,2224
8365,9075
8371,7652
8372,1890
8377,3328
8378,5408
8384,8866
8390,5385
8391,3912
8396,1905
8397,8379
8403,9878
8404,2468
8409,5200
8410,8758
8416,15027
8422,8896
8423,6423
8428,2714
8429,11352
8435,9687
8436,2440
8441,3861
8442,6451
8448,8696
8454,4353
8455,3228
8460,1313
8461,5737
8467,5380
8468,1306
8473,2305
8474,4019
8480,6051
8486,3306
8487,2341
8492,1030
8493,4153
8499,3943
8500,1019
8505,1760
8506,2847
8512,4170
8518,2178
8519,1570
8524,650
8525,2954
8531,2705
8532,664
8537,1313
8538,2175
8544,3176
8550,1741
8551,1308
8556,539
8557,2446
8563,2127
8564,545
8569,957
8570,1538
8576,1986
8582,878
8583,636
8588,215
8589,901
8595,722
8596,174
8601,247
8602,445
8608,699
8614,656
8615,444
8620,370
8621,1626
8627,2740
8628,687
8633,1818
8634,3125
8640,5739
8646,2852
8647,1972
8652,597
8653,2636
8659,1290
8660,324
8665,242
8666,403
8672,311
8678,78
8679,58
8684,17
8685,63
8691,52
8692,13
8697,28
8698,44
8704,117
8710,110
8711,77
8716,50
8717,213
8723,262
8724,72
8729,196
8730,347
8736,896
8742,898
8743,636
8748,442
8749,1916
8755,2322
8756,559
8761,1248
8762,2140
8768,4246
8774,3401
8775,2433
8780,1551
8781,6418
8787,7298
8788,1877
8793,3084
8794,5067
8800,5743
8806,1899
8807,1359
8812,319
8813,1282
8819,802
8820,186
8825,328
8826,577
8832,1014
8838,753
8839,552
8844,322
8845,1429
8851,1812
8852,485
8857,986
8858,1658
8864,3202
8870,1963
8871,1445
8876,617
8877,2784
8883,2679
8884,643
8889,1154
8890,1858
8896,2987
8902,1694
8903,1217
8908,531
8909,2244
8915,2294
8916,568
8921,1064
8922,1743
8928,3003
8934,1748
8935,1291
8940,581
8941,2438
8947,2462
8948,636
8953,1159
8954,1955
8960,3261
8966,2109
8967,1486
8972,765
8973,3108
8979,3277
8980,818
8985,1691
8986,2609
8992,4113
8998,2268
8999,1560
9004,739
9005,2967
9011,2970
9012,774
9017,1453
9018,2416
9024,4331
9030,2636
9031,1856
9036,942
9037,3973
9043,3889
9044,986
9049,1785
9050,3066
9056,4964
9062,2985
9063,1989
9068,975
9069,4063
9075,3961
9076,981
9081,1925
9082,3084
9088,4816
9094,2777
9095,2014
9100,882
9101,3735
9107,3552
9108,907
9113,1617
9114,2798
9120,4316
9126,2474
9127,1781
9132,802
9133,3418
9139,3287
9140,804
9145,1544
9146,2515
9152,3839
9158,2249
9159,1630
9164,740
9165,3057
9171,2906
9172,756
9177,1345
9178,2238
9184,3495
9190,2101
9191,1448
9196,601
9197,2625
9203,2533
9204,585
9209,1205
9210,1803
9216,3026
9222,1719
9223,1255
9228,582
9229,2367
9235,2279
9236,564
9241,1079
9242,1708
9248,2814
9254,1637
9255,1211
9260,555
9261,2298
9267,2235
9268,549
9273,1120
9274,1721
9280,2744
9286,1604
9287,1141
9292,524
9293,2223
9299,2085
9300,569
9305,969
9306,1683
9312,2594
9318,1482
9319,997
9324,477
9325,1955
9331,1974
9332,481
9337,877
9338,1404
9344,2263
9350,1341
9351,978
9356,434
9357,1879
9363,1722
9364,433
9369,754
9370,1376
9376,2091
9382,1227
9383,878
9388,409
9389,1679
9395,1680
9396,424
9401,762
9402,1320
9408,2282
9414,1312
9415,953
9420,440
9421,1815
9427,1868
9428,477
9433,859
9434,1491
9440,2388
9446,1438
9447,1035
9452,491
9453,2088
9459,2169
9460,550
9465,1000
9466,1581
9472,2727
9478,1562
9479,1113
9484,522
9485,2175
9491,2182
9492,608
9497,1061
9498,1749
9504,2839
9510,1589
9511,1170
9516,556
9517,2302
9523,2233
9524,588
9529,1082
9530,1677
9536,2673
9542,1461
9543,1061
9548,476
9549,1822
9555,1615
9556,368
9561,625
9562,1067
9568,1370
9574,640
9575,446
9580,158
9581,585
9587,487
9588,116
9593,134
9594,248
9600,275
9606,106
9607,80
9612,29
9613,123
9619,104
9620,31
9625,47
9626,82
9632,110
9638,89
9639,47
9644,33
9645,103
9651,72
9652,16
9657,49
9658,59
9664,95
9670,59
9671,29
9676,32
9677,103
9683,82
9684,35
9689,50
9690,78
9696,120
9702,88
9703,64
9708,36
9709,147
9715,186
9716,55
9721,115
9722,214
9728,507
9734,401
9735,305
9740,191
9741,894
9747,1157
9748,323
9753,747
9754,1196
9760,2273
9766,1393
9767,1047
9772,470
9773,2169
9779,2316
9780,545
9785,1241
9786,2114
9792,3953
9798,2617
9799,1894
9804,929
9805,4007
9811,4084
9812,1036
9817,1848
9818,3028
9824,4559
9830,2422
9831,1814
9836,688
9837,3032
9843,2730
9844,669
9849,1252
9850,1944
9856,3175
9862,1787
9863,1292
9868,632
9869,2467
9875,2413
9876,661
9881,1217
9882,1948
9888,3145
9894,1667
9895,1300
9900,629
9901,2532
9907,2484
9908,643
9913,1139
9914,2023
9920,3105
9926,1839
9927,1326
9932,617
9933,2463
9939,2506
9940,621
9945,1125
9946,1913
9952,3139
9958,1795
9959,1229
9964,566
9965,2301
9971,2296
9972,571
9977,1075
9978,1819
9984,2889
9990,1616
9991,1146
9996,509
9997,2242
10003,2072
10004,535
10009,1035
10010,1655
10016,2631
10022,1563
10023,1071
10028,524
10029,2110
10035,2089
10036,580
10041,1005
10042,1665
10048,2735
10054,1742
10055,1145
10060,570
10061,2330
10067,2302
10068,542
10073,1115
10074,1816
10080,2984
10086,1743
10087,1303
10092,559
10093,2427
10099,2362
10100,573
10105,1111
10106,1958
10112,2949
10118,1783
10119,1240
10124,565
10125,2529
10131,2450
10132,591
10137,1219
10138,1976
10144,3235
10150,1859
10151,1377
10156,687
10157,2811
10163,2968
10164,706
10169,1495
10170,2421
10176,4090
10182,2436
10183,1790
10188,756
10189,3614
10195,3542
10196,878
10201,1775
10202,2803
10208,4616
10214,2754
10215,1949
10220,896
10221,3877
10227,3843
10228,915
10233,1799
10234,2945
10240,4562
10246,2618
10247,1816
10252,815
10253,3497
10259,3242
10260,817
10265,1416
10266,2347
10272,3599
10278,1998
10279,1399
10284,618
10285,2549
10291,2536
10292,684
10297,1136
10298,1901
10304,3139
10310,1845
10311,1269
10316,570
10317,2570
10323,2465
10324,579
10329,1180
10330,1928
10336,3063
10342,1834
10343,1361
10348,674
10349,2863
10355,3130
10356,787
10361,1812
10362,2926
10368,6184
10374,5301
10375,3711
10380,2645
10381,10636
10387,15374
10388,3937
10393,10071
10394,15654
10400,30498
10406,19867
10407,13910
10412,6781
10413,27672
10419,27482
10420,7175
10425,13981
10426,21972
10432,40263
10438,27325
10439,18803
10444,10291
10445,41477
10451,42696
10452,10920
10457,20268
10458,31361
10464,46125
10470,22562
10471,15574
10476,5930
10477,24663
10483,18624
10484,4828
10489,6643
10490,10606
10496,11999
10502,4628
10503,3312
10508,995
10509,4138
10515,2654
10516,695
10521,893
10522,1433
10528,1847
10534,917
10535,631
10540,238
10541,1072
10547,882
10548,212
10553,358
10554,564
10560,785
10566,443
10567,294
10572,130
10573,646
10579,706
10580,177
10585,421
10586,593
10592,1356
10598,957
10599,714
10604,361
10605,1561
10611,1675
10612,421
10617,851
10618,1385
10624,2391
10630,1316
10631,891
10636,415
10637,1757
10643,1630
10644,372
10649,771
10650,1198
10656,1868
10662,1120
10663,780
10668,431
10669,1562
10675,1689
10676,430
10681,883
10682,1394
10688,2131
10694,1171
10695,871
10700,418
10701,1542
10707,1341
10708,336
10713,557
10714,849
10720,1116
10726,529
10727,347
10732,147
10733,598
10739,465
10740,121
10745,190
10746,288
10752,337
10758,161
10759,101
10764,56
10765,201
10771,154
10772,57
10777,73
10778,108
10784,140
10790,61
10791,42
10796,20
10797,69
10803,64
10804,14
10809,35
10810,35
10816,77
10822,42
10823,29
10828,12
10829,43
10835,46
10836,10
10841,21
10842,48
10848,46
10854,33
10855,22
10860,9
10861,40
10867,26
10868,13
10873,16
10874,33
10880,56
10886,26
10887,23
10892,5
10893,37
10899,36
10900,9
10905,18
10906,34
10912,39
10918,27
10919,20
10924,7
10925,51
10931,45
10932,9
10937,16
10938,24
10944,44
10950,30
10951,21
10956,7
10957,31
10963,42
10964,11
10969,23
10970,24
10976,41
10982,27
10983,20
10988,7
10989,41
10995,51
10996,9
