loop_bandwidth_limit	mean_goodput
250	231.84619365573712
500	447.16224478862495
750	660.3488858589834
1000	842.8285061815474
1250	962.5482556814865
1500	983.5357340194438
1750	955.1092164625337
2000	984.0897983294566
