loop_bandwidth_limit	mean_goodput
250	224.55993120245094
500	440.58162404672066
750	645.8410275403311
1000	841.3162117142423
1250	1017.8712415244731
1500	1169.3269046707794
1750	1215.1095257663449
2000	1208.0190113806075
