timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103753138616,634,221,135,0
20260618103754140403,622,221,132,0
20260618103755140784,440,221,92,0
20260618103756143300,439,221,92,0
20260618103757143428,434,221,91,0
20260618103758143685,431,221,90,0
20260618103759144884,432,221,90,0
20260618103800145436,492,221,103,0
20260618103801145089,436,221,91,0
20260618103802148794,439,221,92,0
20260618103803148543,437,221,91,0
20260618103804148927,461,221,96,0
20260618103805147066,478,221,100,0
20260618103806150117,463,220,97,0
20260618103807162442,432,221,90,0
20260618103808153262,440,221,92,0
