loop_bandwidth_limit	mean_goodput
250	217.39516427008223
500	419.2817639938226
750	604.8239035641083
1000	780.9525440539601
1250	927.8460471262415
1500	1051.946964473894
1750	1109.1262368993318
2000	1105.5133393218987
