timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103853091033,637,220,135,0
20260618103854091737,613,220,130,0
20260618103855091452,452,220,94,0
20260618103856091894,441,220,92,0
20260618103857092378,432,221,90,0
20260618103858092626,432,221,90,0
20260618103859093150,432,221,90,0
20260618103900093785,452,220,94,0
20260618103901093831,436,220,91,0
20260618103902094214,439,220,92,0
20260618103903094641,433,220,90,0
20260618103904095159,479,220,100,0
20260618103905095625,463,221,97,0
20260618103906096102,436,221,91,0
20260618103907096200,434,221,90,0
20260618103908112365,439,221,92,0
