timestamp,current_mA,voltage_V,power_active_W,energy_counter_Wh
20260618103552784166,629,221,134,0
20260618103553785950,520,221,109,0
20260618103554785852,440,221,92,0
20260618103555787349,442,221,92,0
20260618103556789553,435,221,91,0
20260618103557788794,432,221,90,0
20260618103558790866,432,221,90,0
20260618103559786525,576,221,121,1
20260618103600791206,438,221,92,1
20260618103601792436,439,221,92,1
20260618103602795850,433,221,90,1
20260618103603795783,471,221,99,1
20260618103604792626,465,221,98,1
20260618103605796075,444,221,93,1
20260618103606798105,436,221,91,1
20260618103607797335,438,221,92,1
